over_number,wickets_fallen,batsman_avg,bowler_econ,strike_rate,match_phase,runs_in_over
9,4,42.7,8.25,104.8,1,10.0
17,6,30.8,9.07,139.2,2,11.0
17,7,52.0,7.23,151.2,2,13.0
8,1,34.9,8.56,126.5,1,10.0
18,5,22.2,9.41,149.0,2,11.0
6,2,30.4,8.84,120.2,0,14.0
5,0,42.7,9.49,119.0,0,20.0
14,4,32.7,8.22,138.2,1,11.0
13,4,31.5,10.03,138.5,1,10.0
3,2,37.8,7.75,127.7,0,15.0
17,3,29.2,10.54,143.5,2,10.0
4,1,30.3,8.69,104.3,0,14.0
17,4,24.4,7.54,123.9,2,5.0
1,2,45.8,6.59,149.3,0,8.0
16,5,22.2,7.03,149.2,2,11.0
16,1,33.4,6.85,146.7,2,15.0
16,6,35.8,7.89,150.4,2,9.0
14,4,31.9,6.47,129.9,1,3.0
10,2,22.0,9.55,95.9,1,8.0
15,9,24.0,8.13,124.8,1,4.0
6,1,36.2,8.08,142.7,0,7.0
16,2,25.8,6.6,129.9,2,13.0
12,4,15.4,7.08,119.5,1,6.0
10,4,35.1,5.34,110.6,1,7.0
11,4,25.0,9.94,112.6,1,7.0
12,4,37.0,8.0,119.1,1,8.0
1,0,30.4,6.39,129.9,0,6.0
3,1,30.0,8.0,119.5,0,10.0
5,3,32.4,8.47,131.0,0,5.0
3,2,22.9,8.14,128.0,0,7.0
9,2,25.4,8.41,123.4,1,7.0
14,4,29.9,9.14,116.2,1,9.0
14,5,22.8,8.12,118.5,1,5.0
10,3,37.7,6.15,129.9,1,3.0
18,1,29.5,8.88,144.1,2,18.0
12,5,20.4,8.51,130.0,1,11.0
2,2,27.5,9.41,193.3,0,12.0
16,6,32.8,6.5,123.4,2,4.0
12,4,28.4,7.12,138.8,1,4.0
13,3,35.2,8.47,123.8,1,14.0
12,4,36.6,6.87,123.3,1,4.0
12,2,51.2,5.18,161.2,1,6.0
2,3,41.2,8.24,150.0,0,7.0
12,5,18.9,9.07,94.9,1,5.0
16,5,29.1,7.85,109.5,2,10.0
7,7,29.9,8.66,127.3,1,12.0
13,1,32.4,8.48,119.7,1,11.0
1,0,24.5,8.01,99.8,0,5.0
7,1,27.7,8.16,132.3,1,5.0
9,5,22.0,9.62,92.4,1,10.0
20,6,27.2,6.84,132.5,2,14.0
5,2,27.5,8.93,144.6,0,11.0
6,0,29.5,6.58,147.5,0,6.0
9,2,22.5,8.0,127.1,1,10.0
20,4,39.9,9.44,160.2,2,15.0
18,5,35.8,6.55,136.6,2,5.0
1,1,20.4,7.71,146.9,0,8.0
5,0,32.2,10.83,115.3,0,8.0
17,6,19.5,9.23,160.4,2,10.0
2,0,42.7,7.12,129.9,0,7.0
18,7,44.9,7.32,161.5,2,13.0
6,0,32.4,7.8,157.2,0,24.0
19,4,25.2,9.57,135.2,2,17.0
6,0,26.7,6.8,138.1,0,13.0
9,0,28.4,6.73,126.4,1,10.0
14,7,31.1,8.86,113.6,1,8.0
3,0,43.0,5.98,141.9,0,17.0
12,1,39.6,6.91,140.9,1,7.0
11,6,39.8,7.9,97.6,1,14.0
16,2,33.4,7.96,128.3,2,12.0
20,5,22.8,6.36,147.4,2,8.0
14,3,32.4,8.42,159.3,1,18.0
9,1,32.5,8.66,144.5,1,11.0
9,0,22.4,7.21,99.7,1,10.0
9,4,34.4,9.99,129.9,1,12.0
17,6,38.4,8.41,123.1,2,13.0
7,2,36.4,6.79,158.0,1,15.0
4,0,36.0,8.0,117.9,0,13.0
7,0,17.1,7.37,151.2,1,5.0
1,0,42.7,8.21,117.5,0,10.0
3,0,19.5,7.42,140.7,0,7.0
2,2,30.8,8.75,111.2,0,11.0
16,3,36.9,7.42,126.1,2,16.0
15,5,34.9,7.49,107.4,1,8.0
14,3,21.8,7.81,158.9,1,9.0
10,3,23.2,7.4,116.1,1,5.0
15,2,34.3,9.29,99.1,1,8.0
4,0,36.1,6.49,97.5,0,2.0
19,8,23.1,7.96,128.3,2,6.0
11,6,35.1,8.11,120.8,1,6.0
19,4,19.9,7.85,143.0,2,13.0
4,1,32.4,9.16,125.3,0,7.0
10,0,24.9,6.2,153.3,1,7.0
14,2,32.6,8.68,122.3,1,7.0
10,2,31.3,6.51,150.5,1,9.0
9,3,41.3,7.39,110.9,1,9.0
4,3,33.9,6.38,99.9,0,8.0
8,4,27.2,7.6,113.5,1,6.0
5,0,34.9,7.31,107.4,0,12.0
7,1,49.1,9.97,105.2,1,16.0
14,2,37.9,8.29,138.3,1,8.0
13,3,31.5,8.53,124.7,1,8.0
13,5,25.3,6.67,132.8,1,14.0
8,4,27.1,8.89,140.6,1,7.0
20,6,37.4,9.97,96.3,2,9.0
2,0,24.9,9.04,141.4,0,13.0
7,1,32.0,6.43,105.9,1,5.0
3,3,43.5,7.44,129.9,0,12.0
7,1,33.2,8.13,92.2,1,5.0
20,3,23.4,7.31,143.1,2,11.0
8,0,49.4,11.04,96.2,1,20.0
19,9,46.1,7.42,106.0,2,11.0
10,0,36.0,7.95,107.4,1,14.0
14,4,42.2,7.28,127.4,1,9.0
10,3,29.9,8.28,126.8,1,6.0
6,0,37.8,9.66,146.2,0,11.0
16,6,28.6,8.14,127.9,2,14.0
20,2,21.2,8.0,149.3,2,16.0
6,1,52.7,6.71,137.6,0,11.0
16,6,20.7,9.45,111.1,2,11.0
6,2,34.4,7.83,116.7,0,7.0
15,4,34.3,8.0,160.2,1,9.0
16,3,36.1,5.19,129.9,2,10.0
9,2,31.3,7.85,146.5,1,9.0
15,7,31.4,7.52,149.1,1,5.0
6,3,33.1,5.81,139.3,0,8.0
2,0,35.8,9.19,129.9,0,8.0
2,0,32.4,7.36,131.0,0,6.0
9,2,31.5,10.27,164.0,1,8.0
19,5,21.4,9.7,120.7,2,10.0
3,0,48.1,8.0,134.8,0,6.0
10,6,36.3,9.64,95.8,1,11.0
15,3,33.7,9.93,129.9,1,3.0
5,1,27.0,7.33,129.9,0,10.0
15,4,24.0,6.76,142.3,1,6.0
7,4,38.9,5.41,125.7,1,7.0
17,4,30.7,8.46,131.6,2,13.0
12,5,37.0,6.83,102.8,1,5.0
11,3,32.4,8.49,121.4,1,3.0
4,1,32.4,7.32,100.8,0,10.0
10,1,39.2,7.06,124.1,1,8.0
18,9,31.4,7.33,143.6,2,12.0
1,0,35.7,6.44,139.1,0,7.0
16,6,37.9,7.33,161.8,2,13.0
10,1,21.3,7.12,135.9,1,5.0
15,5,45.4,7.98,80.4,1,7.0
14,6,32.4,8.13,169.0,1,6.0
9,7,26.4,6.71,113.2,1,5.0
7,4,23.2,9.32,133.2,1,10.0
13,2,39.9,7.81,132.0,1,10.0
3,2,33.7,9.8,134.8,0,15.0
12,7,35.9,8.29,131.0,1,12.0
2,1,32.2,8.08,131.3,0,11.0
13,9,24.0,7.41,103.6,1,1.0
13,5,36.1,8.74,181.7,1,14.0
2,0,30.4,8.04,143.0,0,15.0
16,4,31.8,9.03,131.0,2,14.0
9,2,51.0,9.93,166.8,1,18.0
16,1,39.0,7.13,108.6,2,15.0
1,0,39.4,8.74,147.4,0,13.0
4,2,53.8,8.7,118.9,0,16.0
10,2,35.1,8.55,138.0,1,9.0
4,3,33.0,7.48,138.5,0,7.0
7,2,26.6,7.5,83.3,1,6.0
14,6,28.4,7.3,101.4,1,5.0
3,0,32.4,7.28,161.7,0,6.0
14,8,38.3,6.99,125.0,1,7.0
3,3,21.9,7.87,170.0,0,12.0
4,1,39.2,7.09,156.2,0,7.0
12,3,31.7,8.52,125.6,1,8.0
16,5,33.0,8.07,123.8,2,9.0
4,2,31.7,8.2,163.0,0,8.0
6,4,43.1,7.67,172.1,0,5.0
19,6,41.7,8.08,129.9,2,14.0
20,8,31.8,7.7,160.8,2,14.0
12,1,24.8,8.94,150.6,1,10.0
9,1,39.4,7.47,154.1,1,15.0
7,1,32.4,8.45,132.0,1,7.0
13,6,19.6,6.43,116.6,1,2.0
12,4,36.0,8.85,108.9,1,6.0
6,3,41.7,7.33,103.9,0,12.0
1,1,28.8,6.91,129.9,0,7.0
4,1,35.2,6.63,130.2,0,14.0
20,5,28.7,6.54,107.1,2,6.0
9,4,37.8,8.0,150.0,1,8.0
10,0,40.8,9.8,120.4,1,16.0
10,2,29.9,7.23,117.0,1,7.0
16,5,23.8,5.35,171.4,2,5.0
2,0,20.3,8.44,103.4,0,9.0
2,0,39.4,6.66,134.7,0,9.0
6,1,22.9,8.98,118.2,0,7.0
10,1,35.0,7.49,115.0,1,9.0
14,3,38.2,7.67,129.9,1,12.0
10,5,28.0,9.44,131.2,1,12.0
9,1,30.7,8.74,112.5,1,8.0
19,7,40.0,6.5,141.8,2,13.0
4,1,25.5,6.68,129.1,0,5.0
12,2,24.7,5.86,123.7,1,6.0
11,3,30.1,11.12,112.6,1,10.0
10,4,42.2,6.96,158.6,1,12.0
17,5,44.9,9.4,144.7,2,18.0
6,0,31.2,7.36,116.4,0,14.0
20,3,26.3,6.7,102.8,2,11.0
7,2,40.5,8.03,92.2,1,5.0
11,2,18.6,7.61,152.7,1,10.0
11,9,34.0,8.96,148.2,1,6.0
17,9,31.6,8.98,150.9,2,13.0
9,3,42.4,7.29,127.6,1,9.0
6,3,43.2,6.27,146.1,0,13.0
1,0,24.5,6.56,150.5,0,7.0
8,2,33.3,5.26,128.6,1,4.0
17,5,27.4,7.67,122.8,2,12.0
1,0,29.7,7.99,110.5,0,11.0
18,5,36.9,6.63,138.5,2,9.0
11,4,29.3,6.48,141.2,1,6.0
3,0,33.6,7.98,121.9,0,10.0
7,0,39.7,7.24,124.2,1,12.0
12,9,44.1,7.74,125.7,1,7.0
7,2,34.3,7.56,145.8,1,12.0
3,2,32.9,8.3,102.5,0,11.0
14,6,23.1,7.32,107.9,1,2.0
14,4,44.7,7.41,108.3,1,12.0
3,0,36.0,5.74,127.0,0,11.0
6,4,32.4,8.0,136.3,0,4.0
5,1,32.7,8.11,108.6,0,13.0
14,2,34.9,7.79,148.2,1,13.0
15,1,38.2,10.29,159.3,1,11.0
15,7,39.2,8.2,138.3,1,8.0
19,8,44.9,7.81,152.5,2,9.0
16,3,32.4,8.6,129.9,2,13.0
7,3,32.4,10.54,112.2,1,13.0
3,1,40.5,8.3,140.3,0,7.0
13,4,31.5,5.33,129.2,1,7.0
19,9,18.7,8.52,112.1,2,4.0
20,6,32.7,6.94,158.5,2,12.0
5,3,44.5,5.69,136.0,0,4.0
5,1,25.8,10.04,144.0,0,9.0
1,0,32.7,9.78,116.5,0,8.0
3,0,33.3,6.91,163.6,0,15.0
12,5,39.5,6.92,126.9,1,13.0
11,2,28.9,8.19,150.4,1,10.0
8,2,25.0,6.94,118.3,1,4.0
7,0,36.6,7.84,133.4,1,5.0
17,3,26.1,7.14,141.2,2,11.0
10,4,17.3,7.52,169.9,1,7.0
17,7,46.7,6.31,121.2,2,16.0
20,5,39.4,8.99,134.1,2,13.0
7,1,47.1,9.44,141.8,1,9.0
5,2,39.0,7.88,101.7,0,10.0
20,9,37.4,7.96,86.5,2,15.0
13,4,35.0,8.75,110.1,1,12.0
6,3,30.5,8.0,149.3,0,8.0
13,5,36.1,10.08,164.3,1,10.0
11,2,27.6,6.42,111.5,1,9.0
19,5,23.4,8.0,105.7,2,14.0
6,0,29.3,7.86,160.7,0,13.0
20,5,42.3,6.65,118.7,2,13.0
19,7,22.1,10.7,122.6,2,11.0
4,3,22.3,10.86,159.2,0,8.0
4,1,36.7,7.75,155.9,0,14.0
11,2,28.7,8.53,148.7,1,6.0
1,0,35.9,7.43,95.8,0,4.0
6,0,39.9,7.63,104.8,0,12.0
9,2,35.7,6.64,152.4,1,7.0
20,4,26.9,6.46,136.4,2,13.0
20,2,42.3,10.21,114.4,2,15.0
4,0,37.9,7.95,123.1,0,8.0
18,5,32.2,8.06,152.2,2,11.0
2,0,32.4,7.03,160.6,0,5.0
15,2,35.0,8.23,129.9,1,8.0
17,6,29.5,6.2,116.3,2,6.0
18,1,19.0,7.07,124.5,2,13.0
5,1,38.0,6.56,156.9,0,9.0
18,6,37.5,9.55,156.5,2,17.0
3,1,13.6,6.02,129.9,0,3.0
11,2,36.1,6.58,119.4,1,10.0
10,2,46.1,5.54,151.7,1,4.0
7,2,23.0,6.93,162.5,1,8.0
1,0,31.4,7.45,100.9,0,7.0
16,3,30.5,9.17,125.4,2,14.0
7,5,45.3,7.73,153.1,1,7.0
14,6,41.0,7.51,131.5,1,8.0
9,3,25.0,8.36,120.2,1,4.0
8,3,34.7,7.47,133.7,1,10.0
18,5,50.4,10.89,137.4,2,20.0
2,2,27.0,7.29,129.9,0,7.0
15,9,31.9,8.0,131.8,1,5.0
15,3,36.1,8.99,137.3,1,14.0
8,3,32.4,7.26,120.2,1,2.0
6,2,46.1,8.2,114.4,0,12.0
1,0,28.2,7.4,119.2,0,10.0
19,4,20.9,8.33,110.6,2,6.0
19,7,27.8,8.12,147.0,2,10.0
5,1,32.4,7.83,110.3,0,3.0
1,0,25.6,6.61,133.8,0,8.0
3,0,34.4,8.0,129.9,0,10.0
2,2,36.5,8.7,115.9,0,3.0
17,6,22.3,6.09,157.4,2,7.0
18,8,32.4,8.0,127.4,2,5.0
4,1,34.8,6.12,116.6,0,7.0
15,7,37.6,8.91,114.7,1,5.0
4,3,27.7,7.97,136.8,0,8.0
8,2,32.4,8.0,146.5,1,4.0
12,7,29.7,6.99,155.4,1,5.0
15,1,37.8,7.62,126.6,1,14.0
18,5,36.2,8.94,125.4,2,15.0
1,0,29.0,9.27,132.6,0,11.0
4,1,35.8,9.02,133.3,0,16.0
6,0,28.7,6.14,114.6,0,8.0
7,3,35.7,8.0,159.2,1,10.0
20,4,35.8,8.3,130.4,2,17.0
16,3,51.0,7.12,140.7,2,13.0
7,3,29.3,6.01,138.5,1,5.0
20,3,30.9,6.46,138.1,2,8.0
10,5,26.8,9.8,109.9,1,4.0
11,7,23.7,6.57,129.9,1,1.0
9,4,28.3,8.06,175.6,1,10.0
3,0,37.3,7.81,161.7,0,8.0
19,2,37.9,7.82,133.1,2,10.0
1,0,34.4,7.62,122.7,0,9.0
4,2,32.4,8.95,85.6,0,8.0
5,1,28.1,8.04,120.1,0,8.0
6,1,24.7,7.25,128.4,0,5.0
3,0,32.4,8.06,123.7,0,10.0
1,0,21.6,6.47,125.0,0,9.0
14,5,42.9,8.57,142.4,1,10.0
20,4,46.7,7.18,110.0,2,13.0
3,1,16.5,7.25,135.5,0,2.0
6,1,34.3,8.0,129.9,0,6.0
11,3,34.2,7.51,112.4,1,9.0
19,1,33.7,7.58,163.5,2,12.0
14,2,27.3,9.4,145.0,1,8.0
16,6,40.2,6.83,114.3,2,14.0
12,3,35.3,8.6,140.3,1,11.0
9,6,40.3,9.14,102.2,1,15.0
4,2,26.1,9.4,116.7,0,16.0
18,2,20.9,10.61,156.6,2,23.0
17,4,35.5,7.23,137.0,2,10.0
1,1,24.3,6.96,135.4,0,10.0
15,3,40.4,8.98,149.7,1,11.0
2,2,15.0,9.13,142.2,0,6.0
15,9,28.3,7.05,124.7,1,1.0
17,3,27.1,8.58,148.7,2,13.0
3,1,29.3,11.27,96.2,0,13.0
9,2,34.1,8.13,116.7,1,7.0
3,1,35.2,9.11,128.1,0,9.0
12,4,37.1,9.89,141.0,1,17.0
19,2,32.4,11.0,123.5,2,19.0
2,1,30.6,8.29,94.3,0,9.0
8,4,48.9,9.5,129.9,1,12.0
20,4,43.1,7.05,128.6,2,12.0
7,3,29.5,8.03,120.4,1,6.0
3,2,30.9,7.46,129.9,0,4.0
10,1,29.3,5.74,108.5,1,7.0
11,8,34.9,6.08,132.7,1,4.0
14,2,24.2,8.52,156.0,1,9.0
7,3,25.7,8.54,132.7,1,9.0
20,4,14.7,8.0,156.3,2,9.0
11,0,28.8,9.87,122.5,1,11.0
6,0,40.5,6.67,138.9,0,8.0
20,5,30.8,8.31,157.0,2,11.0
19,7,31.2,7.5,126.8,2,14.0
10,1,34.2,8.13,130.5,1,14.0
1,1,24.0,9.08,122.5,0,5.0
12,4,32.2,8.91,141.9,1,7.0
12,5,39.1,8.85,148.0,1,10.0
3,1,34.5,8.7,137.0,0,11.0
13,2,39.8,6.47,125.4,1,9.0
17,5,42.1,9.36,100.0,2,15.0
3,1,37.3,6.73,129.0,0,5.0
15,6,26.3,7.87,126.2,1,7.0
3,0,29.2,7.58,134.7,0,8.0
15,6,47.5,8.42,132.3,1,10.0
9,2,34.5,7.42,161.4,1,16.0
1,0,32.4,7.81,116.1,0,6.0
20,4,25.1,9.94,98.5,2,11.0
4,1,31.3,6.45,129.9,0,6.0
12,4,37.7,8.0,117.3,1,13.0
4,0,32.1,6.66,151.6,0,7.0
19,5,27.8,8.81,104.1,2,7.0
15,0,29.7,7.13,106.7,1,10.0
17,4,41.5,8.05,138.3,2,14.0
9,2,37.3,6.41,129.9,1,8.0
10,1,32.4,9.55,99.0,1,13.0
13,1,35.5,8.09,94.6,1,14.0
16,7,22.5,8.17,114.3,2,9.0
17,2,34.2,8.99,143.1,2,14.0
1,2,32.4,6.5,132.9,0,8.0
14,4,29.9,7.26,115.0,1,8.0
3,3,39.8,8.2,144.8,0,11.0
6,2,36.4,5.89,132.5,0,6.0
17,4,38.6,6.01,127.8,2,14.0
6,2,32.4,7.01,97.7,0,7.0
16,4,39.1,6.63,114.6,2,17.0
10,3,20.3,7.59,169.1,1,7.0
5,2,32.3,8.63,123.3,0,7.0
7,3,37.7,8.9,110.9,1,5.0
11,4,34.4,10.17,122.4,1,11.0
16,4,40.8,7.97,132.4,2,18.0
13,4,30.7,8.19,147.7,1,11.0
19,4,27.6,7.97,142.4,2,7.0
18,5,18.9,8.38,116.5,2,12.0
16,6,29.8,8.48,155.4,2,15.0
13,2,36.1,9.11,146.3,1,9.0
6,2,38.1,9.1,121.1,0,10.0
9,1,20.8,8.62,127.4,1,6.0
3,3,41.4,9.81,142.0,0,15.0
8,3,24.2,8.03,151.5,1,6.0
19,6,31.0,7.27,99.6,2,6.0
9,2,27.4,7.46,131.4,1,10.0
3,0,35.3,7.87,129.4,0,6.0
14,2,32.8,6.7,118.6,1,12.0
20,6,37.4,7.26,118.5,2,13.0
18,1,46.8,6.63,151.1,2,18.0
6,2,35.2,8.0,140.7,0,8.0
10,2,27.4,8.42,172.1,1,13.0
11,5,35.7,5.88,118.6,1,3.0
5,2,47.6,7.22,132.7,0,16.0
6,2,37.3,10.19,136.2,0,12.0
5,1,39.6,8.76,147.9,0,21.0
20,5,19.3,8.55,157.2,2,6.0
15,7,35.1,7.2,131.9,1,8.0
17,7,29.9,8.34,108.1,2,5.0
17,6,26.6,8.0,115.8,2,6.0
20,8,31.8,7.04,132.9,2,11.0
3,0,32.9,7.41,152.5,0,11.0
18,4,27.0,7.43,101.1,2,6.0
2,1,33.5,6.21,106.6,0,5.0
10,5,30.6,6.41,145.1,1,7.0
12,4,37.6,7.76,104.1,1,7.0
8,2,33.8,6.98,107.5,1,3.0
3,0,35.0,7.64,152.7,0,8.0
4,1,39.8,6.07,125.6,0,8.0
17,4,36.4,8.96,124.0,2,16.0
7,0,32.4,10.5,157.4,1,11.0
7,1,15.3,9.23,108.7,1,14.0
19,8,36.1,9.36,104.7,2,8.0
3,0,24.7,8.75,162.6,0,14.0
19,5,31.3,8.32,134.7,2,15.0
19,7,35.0,8.1,143.6,2,16.0
12,3,42.7,6.9,123.8,1,7.0
4,0,46.7,8.83,127.9,0,11.0
4,0,24.6,8.76,115.9,0,13.0
6,1,21.5,7.44,129.9,0,7.0
12,1,34.6,8.63,146.6,1,13.0
4,0,33.9,7.17,133.9,0,10.0
10,2,22.4,7.24,151.2,1,3.0
3,3,31.9,8.93,143.2,0,14.0
11,5,36.8,8.52,109.0,1,6.0
1,0,22.2,7.72,127.1,0,6.0
15,8,24.0,7.58,121.0,1,3.0
2,0,26.8,8.21,145.1,0,10.0
4,1,32.4,5.8,139.2,0,6.0
4,0,37.6,7.09,132.5,0,10.0
17,3,29.4,6.48,150.3,2,7.0
2,1,32.4,8.01,92.7,0,9.0
9,3,50.0,9.31,117.9,1,6.0
12,3,24.3,8.57,119.6,1,3.0
11,4,26.8,7.39,135.0,1,13.0
14,5,37.4,7.15,141.1,1,9.0
17,6,39.9,7.1,130.0,2,11.0
8,1,32.4,10.4,103.7,1,10.0
17,4,46.5,8.08,138.1,2,20.0
7,0,34.5,8.24,132.6,1,16.0
20,6,16.2,5.47,100.6,2,6.0
11,5,32.8,6.58,124.1,1,7.0
15,7,27.4,7.95,137.5,1,6.0
18,5,43.1,7.4,163.1,2,18.0
16,1,39.7,8.16,108.2,2,12.0
18,2,19.3,8.14,145.8,2,22.0
11,5,42.8,8.72,108.5,1,11.0
1,2,39.5,5.76,104.6,0,4.0
10,3,29.4,6.67,105.8,1,8.0
4,0,31.4,7.88,142.1,0,10.0
18,4,43.1,7.22,132.6,2,14.0
5,3,16.2,7.63,123.7,0,11.0
5,0,35.6,8.13,139.2,0,8.0
5,0,40.7,7.11,130.8,0,9.0
13,6,31.3,8.23,132.2,1,7.0
12,5,37.2,8.65,123.9,1,7.0
19,7,32.8,8.08,109.4,2,13.0
9,2,25.7,8.86,163.8,1,4.0
6,4,25.5,5.39,158.0,0,5.0
1,0,37.7,7.3,161.8,0,7.0
1,0,26.9,9.07,119.2,0,5.0
8,2,19.8,6.96,116.4,1,2.0
19,1,33.0,6.8,121.7,2,13.0
11,3,27.9,7.85,151.5,1,5.0
18,5,22.4,7.98,130.0,2,10.0
3,1,32.6,7.36,119.1,0,14.0
2,2,38.1,10.21,137.3,0,5.0
17,4,32.2,8.34,115.3,2,5.0
3,0,23.5,6.92,102.9,0,4.0
2,0,35.9,6.27,132.6,0,8.0
9,4,40.3,8.49,129.9,1,16.0
19,5,49.7,6.89,129.7,2,10.0
14,6,43.5,10.58,76.3,1,9.0
2,0,24.0,8.51,112.2,0,6.0
17,6,38.9,8.67,129.1,2,11.0
17,6,34.1,8.3,99.7,2,16.0
17,7,22.8,9.35,100.4,2,10.0
19,7,34.3,5.13,130.8,2,12.0
5,0,47.3,6.56,144.0,0,6.0
20,9,41.6,9.24,112.2,2,9.0
7,2,23.9,9.8,124.8,1,5.0
17,5,32.1,6.52,125.2,2,13.0
12,4,35.9,5.82,98.8,1,6.0
16,5,32.4,8.2,153.7,2,12.0
13,8,18.4,8.58,126.3,1,5.0
13,4,33.2,8.18,126.6,1,5.0
13,4,33.3,7.93,137.5,1,3.0
16,3,17.3,5.78,98.8,2,6.0
15,0,35.1,7.55,148.4,1,11.0
3,0,40.7,7.73,151.0,0,8.0
17,3,30.3,7.34,132.8,2,7.0
11,1,32.5,5.7,139.2,1,7.0
7,3,36.6,8.7,123.5,1,10.0
11,4,35.5,8.0,147.3,1,18.0
20,5,18.7,7.05,113.5,2,13.0
18,2,24.8,7.78,129.4,2,14.0
17,5,28.8,7.4,130.5,2,11.0
10,3,25.1,7.42,129.2,1,3.0
16,3,43.7,8.59,129.9,2,11.0
8,4,37.1,8.62,173.8,1,6.0
14,4,23.1,9.29,127.8,1,5.0
13,4,30.3,9.26,129.9,1,11.0
5,5,41.0,7.79,114.0,0,4.0
6,1,26.8,11.41,150.6,0,18.0
2,1,38.8,9.86,119.7,0,9.0
3,0,43.1,7.21,192.9,0,7.0
9,1,41.7,8.15,96.6,1,11.0
10,4,33.4,5.62,172.9,1,6.0
4,2,42.0,8.03,129.9,0,6.0
9,1,27.8,10.01,107.6,1,12.0
13,4,51.9,11.34,176.4,1,21.0
5,0,32.4,7.85,111.4,0,8.0
7,2,41.2,8.4,123.7,1,16.0
8,1,29.1,8.73,104.1,1,13.0
11,5,36.0,10.38,127.1,1,16.0
8,1,36.3,8.0,128.9,1,6.0
15,5,24.6,11.19,146.6,1,9.0
7,2,24.3,7.62,178.8,1,5.0
