over_number,wickets_fallen,batsman_avg,bowler_econ,strike_rate,match_phase,runs_in_over
49,9,53.1,6.49,77.0,2,11.0
16,9,34.9,4.62,110.2,1,5.0
11,1,40.6,3.81,106.9,1,9.0
48,9,29.6,4.8,70.4,2,6.0
32,9,28.7,6.2,74.2,1,2.0
15,5,38.2,4.39,59.0,1,4.0
32,7,35.4,3.18,93.9,1,2.0
26,6,36.0,5.67,104.2,1,1.0
46,9,26.2,4.82,81.2,2,4.0
13,4,37.4,3.43,85.1,1,5.0
50,9,50.4,5.59,128.2,2,11.0
47,9,38.0,5.04,89.4,2,8.0
10,6,45.2,7.51,117.0,0,15.0
9,3,10.3,5.61,45.2,0,5.0
27,7,31.6,6.2,100.9,1,3.0
3,0,22.7,5.48,95.0,0,5.0
15,8,47.9,4.78,89.4,1,2.0
22,9,45.0,4.91,69.1,1,3.0
49,9,29.7,6.8,85.6,2,8.0
50,9,40.3,6.4,63.2,2,8.0
8,0,47.6,3.71,74.0,0,10.0
45,9,48.9,4.0,80.8,2,4.0
5,0,34.8,4.07,101.5,0,6.0
38,9,20.3,6.77,75.9,1,5.0
43,9,30.8,3.42,81.1,2,5.0
45,7,38.0,6.44,110.5,2,7.0
12,3,54.8,5.98,54.7,1,7.0
45,9,37.6,5.68,94.5,2,5.0
6,3,33.1,4.93,97.8,0,4.0
26,4,57.2,6.93,98.3,1,8.0
24,7,41.2,5.64,80.0,1,2.0
16,8,28.2,3.77,68.7,1,1.0
2,0,37.0,4.05,120.4,0,3.0
39,9,46.0,3.53,72.9,1,5.0
17,5,37.4,6.94,67.7,1,4.0
34,9,44.4,7.21,90.4,1,7.0
21,1,38.0,5.5,75.2,1,4.0
19,3,26.5,5.33,89.4,1,4.0
45,8,32.1,3.79,84.7,2,6.0
5,1,35.7,4.24,113.6,0,9.0
37,9,40.7,4.31,99.0,1,2.0
38,9,43.1,5.45,89.4,1,3.0
19,4,57.7,7.16,112.3,1,10.0
14,7,38.0,7.16,77.0,1,5.0
1,0,35.5,4.91,83.6,0,7.0
47,9,32.3,2.82,100.6,2,4.0
48,9,46.6,4.1,94.5,2,6.0
13,2,47.1,6.93,76.5,1,7.0
2,0,34.4,5.78,59.3,0,8.0
7,1,54.5,5.07,89.6,0,11.0
4,0,32.3,4.99,75.5,0,6.0
42,9,46.2,4.6,90.6,2,6.0
45,9,49.6,4.06,81.6,2,6.0
8,2,27.1,7.99,75.6,0,14.0
38,9,42.6,7.56,84.6,1,8.0
9,2,16.2,4.51,88.5,0,2.0
19,8,44.6,3.4,103.9,1,3.0
30,8,29.2,5.7,98.5,1,2.0
36,9,42.5,5.32,131.9,1,1.0
44,9,44.0,6.25,92.8,2,10.0
3,0,47.0,6.53,76.5,0,8.0
10,1,45.1,4.1,86.7,0,6.0
15,4,38.4,7.04,101.4,1,9.0
16,0,35.0,5.08,110.1,1,8.0
50,9,37.4,6.23,116.8,2,12.0
39,8,29.1,5.19,69.7,1,3.0
17,4,36.3,6.61,115.6,1,6.0
49,9,35.7,2.67,89.1,2,3.0
25,9,31.7,6.39,71.5,1,3.0
26,6,24.1,4.5,85.9,1,1.0
22,7,27.8,5.59,114.2,1,2.0
8,1,12.8,6.99,99.1,0,3.0
47,9,35.5,4.54,65.8,2,2.0
1,1,40.9,4.35,65.9,0,8.0
9,3,16.5,5.05,65.4,0,2.0
12,1,39.9,4.98,75.4,1,10.0
14,6,37.0,4.24,91.5,1,4.0
7,3,28.6,5.63,67.5,0,2.0
1,2,34.6,5.69,89.4,0,3.0
34,9,46.4,6.06,118.0,1,11.0
49,9,30.2,4.52,122.4,2,9.0
7,0,38.6,4.37,121.0,0,5.0
15,5,40.8,5.36,54.1,1,1.0
26,6,31.4,5.21,123.5,1,3.0
47,9,46.1,5.23,91.8,2,8.0
35,9,41.2,4.65,91.6,1,2.0
39,9,38.0,5.9,110.6,1,5.0
30,8,56.9,4.37,104.1,1,6.0
21,5,38.0,5.35,52.6,1,6.0
10,6,24.5,5.13,77.8,0,5.0
44,9,34.9,5.46,82.7,2,5.0
41,9,57.7,6.92,63.4,2,8.0
2,0,38.0,3.92,109.9,0,3.0
36,9,38.5,2.63,118.8,1,2.0
5,2,47.8,4.79,89.8,0,13.0
37,9,43.2,4.12,96.0,1,2.0
42,9,44.4,2.0,89.8,2,3.0
7,2,43.9,7.6,92.0,0,8.0
22,4,38.2,6.17,112.4,1,9.0
7,3,31.7,6.3,54.7,0,8.0
29,7,41.5,5.16,99.7,1,2.0
47,9,34.8,6.0,90.2,2,9.0
5,0,38.0,4.99,75.7,0,8.0
20,7,49.9,6.48,79.9,1,8.0
49,9,35.0,5.73,126.6,2,7.0
16,8,38.0,5.46,63.4,1,9.0
7,3,40.1,5.55,86.6,0,6.0
25,7,36.7,7.26,122.6,1,6.0
26,9,23.5,5.7,64.6,1,2.0
34,9,55.0,4.26,80.9,1,6.0
16,3,38.0,5.9,90.8,1,6.0
48,9,19.8,6.09,98.3,2,7.0
27,9,45.9,5.33,88.4,1,2.0
15,3,37.6,5.44,72.1,1,4.0
49,9,30.5,5.5,98.9,2,3.0
47,9,45.4,5.62,88.0,2,10.0
25,3,17.6,4.04,102.6,1,1.0
2,0,32.3,5.2,89.4,0,1.0
30,9,35.6,4.7,60.3,1,5.0
28,9,44.8,6.68,110.7,1,6.0
8,0,55.9,7.36,84.9,0,9.0
32,8,36.0,4.13,106.5,1,1.0
43,9,41.7,5.49,99.9,2,12.0
6,0,60.0,5.13,127.1,0,14.0
37,6,38.0,6.06,90.1,1,1.0
8,0,41.7,5.62,81.9,0,7.0
38,9,28.1,5.04,79.7,1,1.0
21,9,53.7,5.61,69.3,1,8.0
1,0,32.3,5.24,106.2,0,8.0
49,9,40.1,7.41,68.0,2,7.0
9,1,39.9,4.55,106.0,0,6.0
30,7,38.7,5.81,85.5,1,4.0
10,3,34.5,6.11,54.7,0,9.0
47,9,39.9,6.03,119.8,2,8.0
37,7,38.0,5.14,30.0,1,4.0
41,9,56.2,7.14,88.4,2,9.0
22,6,36.6,2.99,94.7,1,1.0
24,7,34.4,4.19,43.9,1,2.0
32,6,31.5,6.3,98.8,1,7.0
40,9,59.5,4.44,76.6,2,9.0
43,8,39.0,4.37,85.0,2,5.0
1,0,38.0,4.94,116.9,0,8.0
34,9,43.6,4.56,89.4,1,1.0
6,4,55.7,6.26,83.0,0,13.0
15,7,36.0,6.59,86.6,1,3.0
42,9,38.0,5.61,125.5,2,7.0
13,3,52.9,6.77,98.1,1,12.0
40,9,45.2,3.84,72.3,2,7.0
24,3,41.7,5.59,89.4,1,3.0
12,8,50.3,7.12,66.2,1,5.0
17,3,42.1,6.67,81.0,1,8.0
27,9,50.6,7.22,122.2,1,8.0
39,4,40.0,4.79,86.7,1,1.0
31,9,38.0,6.6,63.3,1,6.0
47,9,42.2,4.99,98.6,2,9.0
44,9,35.4,6.21,82.1,2,7.0
38,9,36.4,7.07,101.2,1,1.0
31,9,34.9,4.55,85.2,1,4.0
15,0,40.1,3.27,118.9,1,5.0
21,5,34.4,7.72,71.8,1,6.0
6,1,41.5,6.09,66.7,0,8.0
19,4,41.2,5.37,108.8,1,2.0
47,9,39.6,5.31,49.9,2,6.0
22,5,39.8,2.98,86.6,1,3.0
6,3,33.5,5.75,106.0,0,6.0
33,9,35.7,4.86,46.1,1,5.0
49,9,24.6,5.56,91.3,2,5.0
44,9,37.0,5.54,60.1,2,6.0
14,5,30.1,2.0,53.1,1,1.0
23,6,38.8,6.09,68.7,1,5.0
27,9,32.3,5.73,86.3,1,1.0
13,6,21.6,5.89,75.9,1,1.0
14,4,56.0,5.28,89.4,1,5.0
12,6,36.1,5.56,91.6,1,6.0
50,9,49.6,5.71,80.2,2,13.0
38,8,33.8,5.83,63.8,1,3.0
43,9,51.6,6.07,94.5,2,10.0
41,9,28.8,5.84,131.2,2,3.0
48,9,39.4,7.72,75.9,2,9.0
6,1,29.3,4.63,78.3,0,5.0
45,9,58.8,5.05,68.8,2,10.0
4,1,36.0,7.53,113.7,0,8.0
24,9,44.6,5.5,108.5,1,5.0
30,9,41.6,6.62,81.1,1,3.0
18,3,37.8,5.66,78.0,1,6.0
8,0,42.1,5.23,71.1,0,9.0
10,2,48.9,6.68,84.2,0,8.0
42,9,43.3,6.12,110.4,2,10.0
16,4,39.3,3.66,90.8,1,2.0
16,6,42.2,5.71,115.8,1,2.0
47,9,53.3,4.31,75.6,2,6.0
8,2,34.7,7.03,43.7,0,6.0
46,9,23.2,7.6,142.1,2,6.0
47,9,29.2,7.75,94.3,2,6.0
30,9,29.8,5.93,105.6,1,3.0
9,0,30.9,4.95,74.2,0,5.0
8,4,31.2,5.5,62.7,0,5.0
15,4,37.8,4.37,93.1,1,5.0
29,9,40.0,8.31,50.2,1,3.0
8,0,39.9,6.93,84.7,0,16.0
23,6,32.2,5.87,110.4,1,5.0
6,2,46.0,6.7,99.0,0,9.0
28,7,42.3,4.91,95.1,1,2.0
2,1,50.7,4.17,124.9,0,4.0
36,9,44.8,2.84,97.5,1,1.0
3,0,35.2,5.6,51.9,0,7.0
10,4,48.4,5.25,87.0,0,4.0
9,0,38.0,6.12,128.5,0,12.0
42,9,44.4,5.52,83.8,2,2.0
3,0,43.8,6.07,127.3,0,13.0
22,7,37.0,6.47,110.5,1,3.0
30,9,38.8,3.75,81.8,1,1.0
26,9,36.9,6.54,68.4,1,2.0
35,9,31.2,5.01,96.8,1,1.0
41,9,20.8,6.12,115.4,2,4.0
20,5,32.4,6.73,58.4,1,4.0
42,9,39.6,6.73,92.4,2,8.0
16,5,46.7,5.65,49.2,1,4.0
50,9,44.4,5.71,83.2,2,9.0
26,8,35.8,6.57,56.9,1,7.0
37,9,32.6,3.7,101.2,1,5.0
44,9,36.6,4.36,76.2,2,5.0
40,9,30.2,5.16,113.2,2,12.0
43,9,21.1,3.9,79.2,2,1.0
27,5,25.6,5.17,77.4,1,2.0
3,0,49.0,5.11,57.7,0,7.0
25,9,52.9,5.6,97.8,1,3.0
10,2,44.0,5.43,99.8,0,8.0
45,9,37.5,6.78,108.8,2,12.0
12,4,26.9,6.19,103.1,1,5.0
12,4,36.7,5.41,98.0,1,4.0
13,4,42.9,5.1,89.4,1,5.0
33,3,44.6,5.5,103.9,1,13.0
29,5,43.5,5.46,108.2,1,7.0
48,9,47.7,8.52,59.4,2,13.0
21,9,53.5,3.75,80.8,1,1.0
15,2,34.8,4.39,57.5,1,2.0
3,1,38.0,4.21,96.6,0,6.0
1,0,21.8,5.82,122.6,0,3.0
19,3,31.8,5.78,107.9,1,9.0
47,9,39.6,4.81,77.9,2,3.0
27,7,42.4,6.58,100.1,1,6.0
45,8,36.5,5.94,97.0,2,3.0
6,0,34.0,6.63,94.7,0,6.0
5,0,55.6,6.94,63.9,0,10.0
42,9,33.7,2.94,116.3,2,2.0
6,0,29.8,6.32,66.4,0,7.0
3,0,51.5,5.5,82.7,0,8.0
21,8,44.8,5.8,109.2,1,6.0
47,8,46.8,5.41,89.4,2,9.0
35,9,39.6,5.46,91.6,1,2.0
5,1,27.0,4.05,92.4,0,7.0
42,9,38.7,6.74,91.3,2,8.0
43,9,25.9,3.95,92.3,2,4.0
41,9,39.9,6.4,94.3,2,11.0
46,9,43.2,3.78,91.5,2,5.0
12,1,46.6,5.48,72.1,1,10.0
49,9,37.3,7.67,59.0,2,9.0
17,7,44.0,5.5,110.0,1,6.0
41,9,30.8,3.56,110.9,2,7.0
29,9,45.7,4.65,96.7,1,3.0
39,9,43.4,4.87,96.6,1,6.0
32,9,31.6,8.21,71.7,1,5.0
33,8,42.2,5.42,41.2,1,6.0
31,8,46.7,6.79,85.0,1,8.0
39,9,38.6,5.86,52.1,1,2.0
37,9,38.0,4.06,93.7,1,2.0
7,2,39.4,3.27,116.1,0,5.0
42,8,42.4,4.76,77.7,2,9.0
27,9,31.4,8.28,89.4,1,4.0
17,3,29.9,5.81,69.9,1,1.0
26,9,42.2,5.5,90.9,1,4.0
49,9,44.6,3.8,89.4,2,9.0
43,9,55.2,5.5,69.6,2,12.0
42,9,43.3,6.43,108.3,2,14.0
24,8,28.3,4.19,144.0,1,1.0
40,9,54.3,5.42,113.8,2,10.0
20,7,46.4,4.44,87.8,1,3.0
35,8,22.0,6.49,87.5,1,2.0
32,9,29.8,5.98,79.7,1,5.0
13,2,34.1,6.32,79.3,1,3.0
14,3,44.7,6.55,109.2,1,10.0
4,2,19.0,5.23,110.0,0,10.0
7,1,37.0,6.7,66.6,0,4.0
22,7,38.0,4.79,97.3,1,4.0
24,6,15.3,6.25,112.2,1,1.0
9,7,44.0,3.13,83.0,0,1.0
21,7,44.9,4.6,85.8,1,2.0
31,9,31.2,8.28,103.9,1,5.0
12,5,28.8,6.23,104.5,1,3.0
17,3,38.0,6.23,98.6,1,8.0
19,3,38.0,4.51,95.1,1,5.0
26,6,35.4,4.19,97.8,1,2.0
19,5,39.8,5.18,84.4,1,6.0
37,0,28.2,5.42,67.6,1,3.0
17,6,45.8,7.8,58.9,1,4.0
