overs_played,wickets_lost,avg_batting_avg,avg_bowling_avg,avg_strike_rate,avg_economy,powerplay_runs,middle_overs_runs,total_innings_runs,team_batting_avg,team_bowling_avg,total_run_avg,overs_batted
17,3,35.1,27.2,128.6,8.08,36,44,117,39.1,33.9,6.88,17
19,2,33.1,27.6,148.5,7.74,36,50,154,53.3,27.8,8.11,19
20,4,29.0,23.8,150.4,7.67,36,50,183,36.4,25.0,9.15,20
13,4,27.4,24.7,143.4,7.63,36,50,109,27.6,20.5,8.38,13
13,6,34.2,24.8,122.2,6.92,36,50,77,21.0,23.1,5.92,13
20,3,34.4,32.1,130.3,8.44,36,50,153,45.8,34.3,7.65,20
18,2,37.9,20.6,134.1,6.22,36,50,155,59.0,21.2,8.61,18
16,1,18.8,31.0,128.1,7.1,36,50,136,80.0,40.1,8.5,16
20,5,34.7,18.2,135.3,7.6,36,50,170,36.4,16.1,8.5,20
15,5,17.6,30.2,111.7,7.27,36,50,71,14.8,25.9,4.73,15
15,4,40.4,26.7,99.1,8.81,36,50,108,32.9,21.1,7.2,15
18,4,28.4,24.6,129.4,7.52,36,50,137,36.7,23.4,7.61,18
9,9,35.6,28.8,162.7,7.38,36,50,59,22.2,29.3,6.56,9
11,3,36.0,25.8,92.8,9.64,36,47,68,31.6,30.3,6.18,11
13,5,31.1,27.8,137.1,7.28,36,50,95,24.5,29.4,7.31,13
19,4,32.1,23.5,142.3,9.07,36,50,152,42.3,27.7,8.0,19
15,8,32.8,15.0,156.2,7.61,36,50,132,22.9,15.1,8.8,15
14,3,38.4,19.2,106.6,6.62,36,50,109,35.0,21.5,7.79,14
17,2,32.0,21.0,128.0,8.65,33,50,139,54.8,22.6,8.18,17
17,5,38.0,31.1,115.6,7.52,36,50,115,29.8,29.7,6.76,17
17,8,35.2,15.8,116.7,8.11,36,50,113,21.3,20.7,6.65,17
16,3,33.9,29.9,117.1,7.11,36,50,127,31.5,29.3,7.94,16
15,4,30.0,27.1,146.1,7.83,36,50,112,30.7,28.9,7.47,15
16,7,34.6,23.1,132.5,10.36,36,50,127,23.4,18.2,7.94,16
17,5,30.5,29.6,113.8,9.35,36,50,138,33.8,23.0,8.12,17
13,7,40.3,22.8,130.9,6.27,36,50,75,25.1,14.2,5.77,13
20,3,25.9,25.8,126.3,7.44,36,50,149,41.4,28.6,7.45,20
20,1,28.8,23.5,133.9,8.98,36,50,183,80.0,24.6,9.15,20
18,4,30.7,25.5,123.4,8.47,36,50,135,26.1,30.8,7.5,18
15,9,26.5,37.2,123.3,7.47,36,50,99,14.8,37.3,6.6,15
18,5,31.3,16.8,130.4,7.95,36,50,121,26.9,13.1,6.72,18
11,0,30.4,24.8,123.1,7.73,36,50,97,67.0,25.8,8.82,11
16,4,28.6,25.7,138.2,7.15,36,50,115,30.1,36.3,7.19,16
17,5,41.1,27.9,123.1,7.57,36,50,127,27.9,30.3,7.47,17
14,3,35.0,30.7,145.1,7.58,36,50,125,42.0,35.2,8.93,14
17,4,31.8,28.1,138.3,7.47,36,50,121,29.6,33.9,7.12,17
14,3,42.8,35.1,132.2,9.33,36,50,101,37.6,38.4,7.21,14
17,2,30.8,23.7,124.1,7.2,36,50,144,49.5,26.5,8.47,17
9,4,29.2,24.7,169.8,7.89,36,50,70,25.8,28.0,7.78,9
13,3,31.1,24.2,136.2,8.49,36,50,100,32.4,26.1,7.69,13
14,8,28.6,20.0,120.6,8.91,36,50,91,22.0,18.5,6.5,14
14,2,43.6,25.9,124.8,9.8,36,50,111,49.4,28.1,7.93,14
17,3,31.2,18.8,133.6,8.64,36,50,151,40.6,20.9,8.88,17
18,8,28.9,30.2,128.2,8.92,36,50,123,19.6,35.6,6.83,18
13,6,36.7,22.2,181.0,6.67,36,50,126,34.1,19.8,9.69,13
20,8,34.8,19.0,147.5,7.35,36,50,156,25.9,20.3,7.8,20
15,6,47.6,25.7,138.1,7.99,36,50,128,31.0,26.9,8.53,15
17,3,31.1,21.9,146.4,8.24,36,50,133,32.8,19.2,7.82,17
13,3,40.4,17.6,154.8,9.07,36,50,129,46.2,16.4,9.92,13
13,3,30.6,21.6,122.4,8.66,36,50,113,41.5,16.5,8.69,13
17,3,33.7,26.8,131.7,5.96,36,50,131,40.9,28.9,7.71,17
15,7,16.3,22.4,145.0,8.42,36,50,104,14.6,21.3,6.93,15
16,4,37.0,27.1,144.0,8.3,36,50,143,34.1,28.9,8.94,16
20,2,43.7,26.1,134.8,7.37,36,50,178,67.2,29.2,8.9,20
18,8,27.2,25.1,134.9,9.15,36,50,132,15.8,31.9,7.33,18
16,0,39.4,25.1,135.0,6.33,36,50,152,80.0,26.5,9.5,16
18,1,42.5,25.7,129.7,7.04,36,50,164,80.0,20.0,9.11,18
16,7,26.6,27.4,120.6,8.62,36,50,118,13.8,18.4,7.38,16
15,4,30.1,15.4,142.1,7.92,36,50,131,32.1,14.1,8.73,15
15,1,29.1,22.0,135.3,9.77,36,50,135,80.0,21.4,9.0,15
15,7,29.7,32.5,112.5,7.27,36,50,85,16.5,36.7,5.67,15
7,2,40.3,27.9,128.5,6.4,36,50,59,34.9,27.0,8.43,7
17,4,33.5,25.3,157.2,8.22,36,50,146,32.8,28.7,8.59,17
20,7,28.4,33.8,113.3,9.2,36,50,145,28.7,38.4,7.25,20
20,6,26.0,22.4,122.6,7.52,36,50,129,17.4,25.9,6.45,20
19,3,30.6,23.0,125.5,7.36,36,50,151,42.1,24.8,7.95,19
11,3,22.2,21.3,142.2,8.93,36,50,76,19.3,17.1,6.91,11
19,1,40.8,22.3,138.4,6.98,36,50,161,80.0,23.6,8.47,19
20,8,28.5,26.4,111.3,7.73,36,50,152,21.0,27.8,7.6,20
19,7,27.1,19.7,135.8,7.87,36,50,136,18.7,26.3,7.16,19
11,6,32.5,27.6,118.2,8.97,36,50,71,20.5,21.6,6.45,11
15,4,38.0,22.2,136.9,7.38,36,50,126,36.5,29.3,8.4,15
19,3,42.9,20.6,107.7,6.47,36,50,169,56.3,20.6,8.89,19
15,3,34.1,23.8,141.1,7.65,36,50,111,27.3,28.7,7.4,15
13,7,20.8,22.1,122.1,6.3,36,50,81,17.1,22.8,6.23,13
20,2,44.7,20.5,127.0,9.05,36,50,192,72.1,17.4,9.6,20
12,7,18.9,21.0,144.8,5.57,36,50,63,10.8,15.5,5.25,12
13,1,44.2,24.9,126.7,8.16,36,50,91,73.5,31.3,7.0,13
17,1,33.2,25.2,121.5,8.21,36,50,125,80.0,25.2,7.35,17
17,5,38.4,28.5,125.9,9.05,36,50,133,28.0,27.1,7.82,17
19,4,28.0,20.6,114.2,7.14,36,50,148,31.6,12.0,7.79,19
20,4,37.0,31.1,136.5,9.19,36,50,148,39.4,26.9,7.4,20
13,4,26.6,23.7,129.7,8.75,36,50,116,26.8,25.2,8.92,13
15,6,39.5,17.2,135.8,8.81,36,50,142,29.2,23.4,9.47,15
12,3,34.9,24.0,130.3,7.71,36,50,104,28.2,21.8,8.67,12
16,2,35.3,33.1,104.3,6.19,36,50,119,51.2,40.0,7.44,16
14,7,41.4,30.0,138.5,7.46,36,50,107,26.5,29.1,7.64,14
20,7,37.4,18.8,109.0,6.53,36,50,141,28.4,25.9,7.05,20
20,4,32.6,19.4,122.1,9.56,36,50,168,32.6,19.0,8.4,20
20,5,42.8,26.2,138.4,8.82,36,50,180,41.2,27.0,9.0,20
16,4,25.3,23.7,123.2,8.1,36,50,119,33.4,30.1,7.44,16
13,2,36.7,24.5,153.2,8.41,36,50,113,53.5,28.8,8.69,13
13,0,34.8,25.1,147.4,7.01,36,50,123,80.0,21.1,9.46,13
16,5,36.4,32.8,130.4,7.54,36,50,111,28.9,34.8,6.94,16
17,5,35.0,20.7,122.9,9.13,36,50,114,27.8,25.8,6.71,17
13,4,33.3,19.7,107.9,7.64,36,50,96,32.0,20.4,7.38,13
15,5,23.1,27.0,133.6,8.63,36,50,104,19.0,30.0,6.93,15
20,3,38.0,17.3,117.5,6.84,36,50,183,53.1,15.7,9.15,20
20,4,34.7,23.3,151.5,6.69,36,50,174,41.5,21.2,8.7,20
16,4,42.0,31.6,130.7,7.57,36,50,152,36.5,31.0,9.5,16
17,1,36.8,34.7,118.3,8.7,36,50,151,80.0,25.3,8.88,17
15,7,35.0,27.8,121.9,9.07,36,50,115,24.4,28.1,7.67,15
13,4,22.1,38.5,130.4,5.57,36,50,61,13.7,33.3,4.69,13
17,5,39.4,27.3,121.0,9.02,36,50,142,35.9,31.1,8.35,17
19,1,28.2,33.2,133.3,8.24,36,50,130,80.0,38.1,6.84,19
19,9,26.9,31.4,101.5,7.43,36,50,119,22.5,33.2,6.26,19
13,1,34.6,25.0,152.5,8.17,36,50,113,80.0,25.4,8.69,13
16,4,31.5,24.5,162.6,8.37,36,50,128,30.4,23.1,8.0,16
13,3,35.8,26.0,125.3,10.41,36,50,100,30.4,24.5,7.69,13
14,6,36.5,22.7,119.2,8.17,36,50,107,26.3,28.2,7.64,14
16,2,40.0,27.3,145.4,7.11,36,50,128,58.3,26.7,8.0,16
17,4,29.3,22.7,131.4,8.62,36,50,115,26.2,26.1,6.76,17
19,4,34.8,39.5,130.0,7.81,36,50,161,37.2,41.6,8.47,19
20,4,29.8,21.1,132.9,8.78,36,50,153,36.9,13.1,7.65,20
20,6,23.8,34.0,125.9,6.54,36,50,133,24.8,38.2,6.65,20
16,8,28.7,30.7,139.6,9.17,36,50,102,16.3,27.3,6.38,16
14,6,34.1,21.2,102.5,6.96,36,50,105,22.6,18.2,7.5,14
20,5,33.1,24.3,131.5,9.81,36,50,152,36.2,30.8,7.6,20
18,1,35.5,16.4,129.4,9.0,36,50,136,80.0,16.8,7.56,18
18,9,28.6,30.1,114.2,7.89,36,50,112,19.8,35.5,6.22,18
18,3,32.7,24.4,121.9,8.44,36,50,146,41.2,25.6,8.11,18
11,3,37.5,33.4,129.6,9.48,36,50,72,24.7,30.9,6.55,11
15,2,31.5,20.0,126.7,8.57,36,50,122,51.8,15.5,8.13,15
20,5,26.4,16.4,133.0,7.84,36,50,151,27.3,15.0,7.55,20
18,6,28.7,24.6,129.7,8.45,36,50,117,22.1,26.0,6.5,18
12,5,30.3,29.0,134.8,7.65,36,50,113,24.4,25.1,9.42,12
14,4,35.2,16.4,144.7,9.92,36,50,109,28.1,13.2,7.79,14
17,3,36.6,21.2,154.7,9.12,36,50,135,44.9,24.6,7.94,17
20,4,32.3,24.1,116.7,7.74,36,50,118,34.6,25.4,5.9,20
14,4,34.1,20.8,118.2,8.6,36,38,112,28.2,19.5,8.0,14
12,5,30.1,21.9,119.9,8.75,36,50,75,23.5,29.6,6.25,12
16,0,26.4,23.6,109.0,9.18,36,50,155,80.0,33.6,9.69,16
20,3,44.8,35.3,123.3,8.02,36,50,171,50.2,36.7,8.55,20
17,4,29.6,15.0,116.9,9.75,36,50,147,34.7,13.9,8.65,17
15,10,37.6,32.3,145.3,7.36,36,50,86,18.6,31.9,5.73,15
14,1,44.2,15.0,148.7,7.71,36,50,134,80.0,12.0,9.57,14
20,4,27.3,25.5,152.8,8.18,36,50,160,35.6,26.3,8.0,20
16,5,27.7,29.3,123.2,9.91,36,50,116,24.0,28.0,7.25,16
13,2,30.0,22.9,135.3,9.39,36,50,94,42.9,14.4,7.23,13
20,4,33.3,24.8,140.1,7.14,36,50,160,38.1,15.7,8.0,20
9,3,28.4,39.6,148.4,7.82,36,50,45,16.4,32.4,5.0,9
17,9,34.8,31.9,134.3,6.89,36,50,101,19.6,29.1,5.94,17
18,2,36.9,31.1,138.6,10.07,36,50,149,61.1,38.9,8.28,18
12,1,23.3,22.7,138.9,7.97,36,50,95,68.3,18.4,7.92,12
20,2,31.5,26.6,148.6,8.92,36,50,184,65.5,27.0,9.2,20
11,7,35.4,36.8,138.0,7.84,36,50,67,23.6,36.4,6.09,11
13,7,32.6,32.4,128.2,7.08,36,50,81,13.5,38.2,6.23,13
20,5,32.5,26.0,140.3,6.14,36,50,175,39.5,27.9,8.75,20
15,3,42.3,27.3,101.8,8.92,36,50,130,35.7,20.9,8.67,15
13,3,35.7,24.1,118.6,8.63,36,50,112,35.7,33.3,8.62,13
19,5,40.0,18.5,154.2,9.94,36,50,166,37.1,21.8,8.74,19
17,6,25.0,27.9,121.2,7.49,36,50,123,22.5,24.8,7.24,17
15,6,35.3,26.1,133.7,8.4,36,50,133,18.8,24.1,8.87,15
14,2,35.6,15.2,134.2,8.15,36,50,108,44.3,22.0,7.71,14
17,2,29.4,20.7,124.5,8.68,36,50,162,54.1,22.7,9.53,17
15,7,37.2,22.7,135.6,8.02,36,50,125,25.5,25.4,8.33,15
18,5,31.1,21.8,131.5,8.29,36,50,143,29.4,22.7,7.94,18
16,4,27.6,31.9,132.5,7.69,36,50,94,26.8,41.4,5.88,16
14,5,26.9,33.4,124.2,8.6,36,50,96,24.9,37.8,6.86,14
20,6,29.6,16.7,110.0,9.46,36,50,142,24.5,27.9,7.1,20
13,6,31.2,27.5,125.4,7.92,36,50,101,23.8,29.4,7.77,13
20,8,15.0,21.2,147.3,6.49,36,50,134,13.7,24.0,6.7,20
20,6,30.6,26.5,112.2,7.5,36,47,161,26.1,36.5,8.05,20
16,5,31.6,27.6,145.5,8.51,36,50,135,32.5,21.2,8.44,16
18,5,40.9,28.7,130.0,8.84,36,50,138,29.6,40.3,7.67,18
11,5,35.2,31.7,147.4,8.16,36,50,90,26.3,35.3,8.18,11
15,6,32.3,26.7,132.4,8.33,36,50,117,23.4,27.6,7.8,15
15,3,33.8,28.3,147.8,8.1,36,50,132,35.4,41.8,8.8,15
16,3,41.7,29.4,143.1,8.0,36,50,149,43.7,26.4,9.31,16
19,3,36.8,32.7,137.5,8.96,36,50,128,44.8,35.8,6.74,19
16,5,33.7,25.9,119.2,9.39,36,39,127,26.9,21.9,7.94,16
15,3,35.7,30.8,127.4,9.64,36,50,126,35.9,24.6,8.4,15
17,4,21.7,19.9,149.4,5.72,36,50,135,27.7,24.8,7.94,17
15,6,32.8,30.6,128.3,7.82,36,50,110,23.8,30.7,7.33,15
15,4,28.4,29.7,121.1,8.8,36,50,109,32.7,34.5,7.27,15
16,10,30.9,27.7,133.9,7.66,36,50,113,19.0,18.6,7.06,16
12,1,30.6,21.9,113.6,7.58,36,50,98,73.4,22.7,8.17,12
20,8,22.6,27.2,130.2,8.02,36,50,124,11.6,28.6,6.2,20
15,8,30.0,24.9,117.2,9.05,36,50,110,15.4,24.2,7.33,15
15,2,35.2,30.9,154.5,6.51,36,50,131,53.7,24.7,8.73,15
13,5,27.2,27.3,138.2,8.21,36,50,105,24.3,27.7,8.08,13
19,2,39.0,29.8,145.3,8.17,36,50,150,61.5,33.1,7.89,19
12,6,35.3,31.0,124.2,8.3,36,50,70,18.4,32.6,5.83,12
19,4,26.9,23.6,110.9,8.81,36,50,145,29.4,26.9,7.63,19
18,4,33.3,18.4,135.9,8.3,36,48,166,41.1,23.4,9.22,18
16,6,25.4,26.0,144.6,9.9,36,50,112,18.0,27.0,7.0,16
16,6,29.7,24.6,116.0,7.45,36,50,102,21.9,21.6,6.38,16
20,2,28.4,21.2,133.7,7.92,36,50,148,55.5,15.3,7.4,20
14,4,29.3,26.8,118.4,7.91,36,50,115,29.2,26.1,8.21,14
13,4,42.2,32.7,123.6,8.06,36,50,91,33.6,30.6,7.0,13
20,5,28.3,37.0,136.5,8.84,36,50,135,24.3,31.6,6.75,20
16,7,31.9,23.0,114.8,8.79,36,50,107,23.2,23.8,6.69,16
9,3,24.3,27.6,147.5,6.91,36,50,44,13.1,17.8,4.89,9
20,4,27.8,26.5,138.7,6.06,36,50,156,36.2,31.3,7.8,20
15,3,38.6,21.7,134.1,8.29,36,50,135,46.3,25.9,9.0,15
18,5,32.8,27.9,129.7,7.22,36,50,148,33.1,30.4,8.22,18
18,5,22.7,32.8,141.2,6.34,36,50,142,22.9,30.0,7.89,18
16,6,30.7,30.7,115.9,7.75,36,50,94,21.2,32.6,5.88,16
20,3,21.9,26.7,126.2,7.72,36,50,164,42.4,30.0,8.2,20
11,5,25.4,23.7,131.2,7.57,36,50,86,19.0,25.7,7.82,11
12,6,42.9,28.9,139.0,7.82,36,50,80,22.3,31.1,6.67,12
12,2,43.0,31.9,110.1,8.91,36,50,108,50.4,31.0,9.0,12
19,3,31.6,25.8,148.8,7.19,36,50,165,47.8,23.5,8.68,19
19,4,42.6,33.6,120.1,9.61,36,50,154,33.7,36.7,8.11,19
17,3,44.0,30.0,133.0,7.19,36,50,146,46.6,35.6,8.59,17
11,5,21.9,18.8,100.9,9.18,36,50,39,13.7,17.8,3.55,11
20,6,30.4,26.2,127.5,7.93,36,50,173,27.5,28.2,8.65,20
20,3,40.2,26.2,145.4,9.07,36,50,153,55.2,26.1,7.65,20
16,3,31.0,23.8,137.5,8.79,36,50,143,37.3,29.0,8.94,16
19,9,33.0,34.9,105.0,8.1,36,50,121,24.6,36.4,6.37,19
17,7,34.1,31.8,131.7,6.66,36,50,100,20.4,33.5,5.88,17
17,0,30.6,32.9,128.6,8.0,36,50,139,80.0,30.4,8.18,17
17,4,26.0,17.4,116.6,9.42,36,50,147,30.6,20.4,8.65,17
15,3,32.3,32.5,122.8,9.71,36,50,121,36.5,37.8,8.07,15
16,3,39.6,28.4,142.3,9.0,36,50,110,39.4,31.7,6.88,16
20,3,36.9,28.9,120.2,5.31,36,50,155,46.6,29.5,7.75,20
15,5,21.6,22.1,106.7,8.62,36,50,106,18.9,16.8,7.07,15
15,5,32.4,23.2,109.0,10.43,36,50,110,24.7,27.3,7.33,15
18,5,31.7,23.9,121.5,8.55,36,50,160,36.2,27.8,8.89,18
14,5,27.8,26.6,142.7,8.11,36,50,98,19.5,28.5,7.0,14
18,4,33.3,26.9,134.8,7.89,36,50,132,33.7,26.6,7.33,18
20,3,32.1,29.9,122.1,8.87,36,50,147,38.9,31.4,7.35,20
20,3,34.5,18.9,109.7,6.91,36,50,151,44.1,17.8,7.55,20
19,1,31.6,35.5,137.7,8.7,36,49,144,80.0,35.2,7.58,19
14,6,31.1,27.9,159.5,9.19,36,50,108,26.6,26.3,7.71,14
10,5,31.4,24.3,120.0,6.61,36,50,65,18.1,26.5,6.5,10
17,3,34.5,29.6,117.6,8.22,36,50,128,35.1,35.0,7.53,17
17,5,28.1,25.2,134.1,8.14,36,50,127,24.6,26.8,7.47,17
17,2,35.6,26.6,134.5,8.62,36,50,151,65.7,24.8,8.88,17
16,2,34.4,22.8,122.8,8.22,36,50,137,54.3,26.7,8.56,16
20,4,23.8,20.6,108.8,6.82,36,50,165,31.3,29.0,8.25,20
13,9,32.8,29.8,113.7,7.03,36,50,87,21.4,28.2,6.69,13
19,7,25.6,20.4,106.3,9.75,36,50,111,25.7,16.2,5.84,19
17,2,22.0,26.0,148.5,7.08,36,50,123,45.2,25.2,7.24,17
16,4,35.2,29.4,142.3,8.57,36,45,113,29.5,38.9,7.06,16
14,4,31.6,31.6,139.4,8.29,36,50,105,27.4,31.1,7.5,14
13,5,33.6,21.1,120.1,7.33,36,50,131,24.6,17.6,10.08,13
16,6,40.0,22.6,116.3,9.39,36,50,120,29.3,32.9,7.5,16
17,5,27.2,34.7,110.7,8.32,36,50,86,17.6,41.7,5.06,17
15,9,24.5,17.8,137.0,9.6,36,50,79,13.6,20.1,5.27,15
19,1,39.8,29.2,163.9,9.89,36,50,173,80.0,30.6,9.11,19
8,5,27.2,24.4,142.8,9.42,36,50,48,17.3,23.5,6.0,8
19,3,42.8,27.4,124.7,7.52,36,50,174,53.3,33.2,9.16,19
19,3,35.2,33.0,125.9,7.27,36,50,142,36.1,37.7,7.47,19
19,3,30.9,27.2,141.4,9.04,36,50,156,45.0,27.2,8.21,19
11,4,34.3,20.3,143.8,8.81,36,50,89,26.6,15.8,8.09,11
14,7,30.5,22.9,145.1,8.51,36,50,115,27.5,24.6,8.21,14
14,5,36.3,39.9,102.7,6.32,36,50,81,24.5,40.7,5.79,14
20,2,33.7,37.6,124.2,8.16,36,50,169,61.7,39.5,8.45,20
18,3,24.8,28.1,162.6,7.32,36,50,157,34.3,27.6,8.72,18
16,5,30.9,20.5,148.9,7.58,36,50,124,30.4,17.4,7.75,16
15,0,38.5,26.0,138.2,8.82,36,50,130,80.0,30.4,8.67,15
16,4,33.1,23.6,142.0,8.19,36,50,144,34.1,26.9,9.0,16
17,3,33.2,29.7,114.4,7.04,36,50,135,37.9,22.9,7.94,17
15,9,22.6,27.4,119.3,8.77,36,50,85,12.7,23.3,5.67,15
17,2,30.6,27.2,106.7,7.54,36,50,136,55.4,28.4,8.0,17
19,4,23.9,19.0,142.7,8.25,36,50,173,30.6,15.3,9.11,19
14,4,17.1,32.4,123.7,8.41,36,50,95,17.9,28.9,6.79,14
18,6,30.1,32.2,141.2,6.54,36,50,141,22.7,30.6,7.83,18
18,4,41.6,29.9,143.1,8.86,36,50,152,40.6,26.9,8.44,18
18,4,47.4,31.7,147.4,5.9,36,50,169,44.3,30.2,9.39,18
18,5,31.7,26.7,120.7,8.04,36,50,146,32.4,36.6,8.11,18
14,3,30.1,31.4,120.5,8.79,36,50,107,33.3,30.6,7.64,14
20,2,34.6,23.9,144.4,8.01,36,50,162,65.1,29.8,8.1,20
14,5,44.1,20.5,120.2,6.98,36,50,127,26.8,20.9,9.07,14
16,7,31.4,25.7,125.3,9.34,36,50,82,18.5,26.8,5.12,16
16,4,26.5,17.0,145.5,8.42,36,50,115,32.9,14.5,7.19,16
20,3,33.8,24.4,121.6,8.28,36,50,145,45.6,30.6,7.25,20
17,7,33.2,23.5,116.3,7.67,36,50,107,19.4,23.3,6.29,17
